Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI
130.70684743491327,130.79494762387347,124.08927299208347,126.68344116210938,143301900,0.0,0.0,,
126.17438170687768,128.96434027367704,125.72406699682993,128.2497100830078,97664900,0.0,0.0,,
125.02903758376115,128.28887879977768,123.71726648458481,123.93263244628906,155088000,0.0,0.0,,
125.65554562543079,128.8566532064511,125.1660802739664,128.16160583496094,109578200,0.0,0.0,,
129.63983643819898,129.8356346050739,127.4861910383015,129.26785278320312,105158200,0.0,0.0,127.25904846191406,
126.46808664112976,127.42743475039664,125.7926219233244,126.26250457763672,100384500,0.0,0.0,127.17486114501953,
125.79260622835795,126.95753625577119,124.18716033390821,126.08628845214844,91951100,0.0,0.0,126.74217681884765,
126.04715062512535,128.6804774143393,125.78285000905457,128.1322784423828,88636800,0.0,0.0,127.58210601806641,
128.0441637753916,128.23994696650644,126.04713638904045,126.19398498535156,90221800,0.0,0.0,127.18858184814454,
126.06671153328733,127.47637432338495,124.32421584477753,124.46126556396484,111598500,0.0,0.0,126.22726440429688,
125.08776922535922,125.99818258432487,124.26547098566607,125.13671875,90757300,0.0,0.0,126.00210723876953,
125.94926776298298,129.69857533660218,125.84158475402205,129.24826049804688,104319500,0.0,0.0,126.63450164794922,
130.9809868365776,136.72730773073852,130.77540472897488,133.98629760742188,120150900,0.0,0.0,127.80530548095703,
133.40868265415878,136.90347263402248,132.17523527512935,136.13990783691406,114459400,0.0,0.0,129.79449005126952,
140.0556315359218,142.0330609237901,133.66319990648873,139.90878295898438,157611700,0.0,0.0,132.88399353027344,75.32069080349771
140.57450034901518,141.25974907507754,138.3914734210782,140.14376831054688,98390600,0.0,0.0,135.88540344238282,75.58125893522741
140.4080402324504,141.2597202025449,137.45167991322688,139.06690979003906,140843800,0.0,0.0,137.84913330078126,71.83803928342455
136.5804238954326,138.9983840689936,133.8198319807573,134.2016143798828,142621100,0.0,0.0,137.89219665527344,57.88852918976414
132.9681598176027,133.8589903465492,127.4665740203368,129.17970275878906,177523800,0.0,0.0,136.50015563964843,47.61163053219969
130.93202973859968,132.52769215198634,128.17143696971982,131.31381225585938,106239800,0.0,0.0,134.78116149902343,51.54814862064823
132.87030394018413,133.43808572758505,131.77390597130074,132.14590454101562,83305400,0.0,0.0,133.18158874511718,53.03010836990906
132.89964253804004,132.90944140609602,130.7949472532494,131.1179962158203,89880900,0.0,0.0,131.59180603027343,50.9566538911208
133.42825418184637,134.50506896351695,131.75427615277843,134.4952850341797,84183100,0.0,0.0,131.65054016113282,56.91705968064213
134.6570721557382,134.7256919313922,133.1962802497355,134.07862854003906,75693800,0.205,0.0,132.6303253173828,56.01262686488397
133.36295674576917,134.27473068581423,132.27471911646307,134.2257080078125,71297200,0.0,0.0,133.21270446777345,56.27674904806763
133.9413940785358,135.17669982141496,133.18650163524518,133.34335327148438,76774200,0.0,0.0,133.4521942138672,54.17513618545678
133.8040989435458,134.3041091961699,131.76487869502816,132.7354736328125,73046600,0.0,0.0,133.77568969726562,52.71459551939951
133.23551380639208,133.71591216240228,131.14728514778588,132.48062133789062,64280000,0.0,0.0,133.3727569580078,52.08065903287479
131.7159057564715,132.8727631961115,131.06884229381453,132.7158966064453,60145100,0.0,0.0,133.10021057128907,52.6468155006673
132.83355237850043,133.34334634915098,130.186477329534,130.57864379882812,80576300,0.0,0.0,132.37079772949218,47.19224481172184
128.67671489364682,129.62769828810704,126.93161473795443,128.27474975585938,97918500,0.0,0.0,131.3570770263672,42.12554380299728
126.66686736837069,127.45118534704598,124.91196916774852,127.16687774658203,96856700,0.0,0.0,130.24335784912108,39.90677019007885
127.68647867465073,128.14726490248546,126.27470937742265,127.32372283935547,87668800,0.0,0.0,129.21197814941405,40.385494461728385
125.50019568722928,127.17667554369352,123.1374506931655,123.52960968017578,103916400,0.0,0.0,127.37472076416016,33.44467288240662
121.33352400979162,124.22568237574217,116.06880725204752,123.39234924316406,158273000,0.0,0.0,125.93746185302734,33.22222210162457
122.49038410977255,123.0982233811548,119.8335182356914,122.89234161376953,111039900,0.0,0.0,124.86098022460938,32.377400715208
122.23548341505006,123.98058295573814,118.1766542083366,118.61782836914062,148199500,0.0,0.0,123.15117034912109,26.23529951158993
120.18645573081852,122.40214750675231,118.82370913566089,118.88253784179688,164560400,0.0,0.0,121.46293334960937,27.156875294919303
121.32370904633405,125.42175462886927,120.38253207979419,125.28450012207031,116307900,0.0,0.0,121.81391143798828,45.040438104854445
125.89233516968987,126.19625476656927,122.55899571430204,122.66683959960938,102260900,0.0,0.0,121.66880950927734,40.646321103252205
122.36292978235466,123.24528556850419,119.45115942796625,119.6668472290039,112966300,0.0,0.0,121.02371063232422,36.27809603514928
119.36292915662767,121.1766559476452,116.29429966652361,117.77468872070312,178155000,0.0,0.0,120.85508270263672,33.81005864308818
118.60803006273893,119.54920709292463,115.26488404152221,119.03939819335938,153766600,0.0,0.0,120.88645477294922,36.90002924053788
118.55899640174938,118.62762365343089,113.93153748891216,114.07859802246094,154376600,0.0,0.0,118.64527435302735,30.821929545705757
116.69627251836808,119.66686452799054,116.46098010131777,118.71588134765625,129525800,0.0,0.0,117.85508270263672,40.66146334510214
119.30411210496723,119.77469689368723,117.10802482490604,117.62763977050781,111943300,0.0,0.0,117.4472412109375,39.250556742575405
120.13744729116506,120.79430928810866,118.88254452691146,119.56881713867188,103026500,0.0,0.0,117.80606689453126,43.04683234435642
118.03939814404615,118.79429797102794,116.82371210015687,118.65704345703125,88105100,0.0,0.0,117.72959594726562,41.72782357972688
